"Product Name",Quantity
"Bush Somerset Collection Bookcase",2
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3
"Self-Adhesive Address Labels for Typewriters by Universal",2
"Bretford CR4500 Series Slim Rectangular Table",5
"Eldon Fold 'N Roll Cart System",2
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",7
"Newell 322",4
"Mitel 5320 IP Phone VoIP phone",6
"DXL Angle-View Binders with Locking Rings by Samsill",3
"Belkin F5C206VTEL 6 Outlet Surge",5
"Chromcraft Rectangular Conference Tables",9
"Konftel 250 ConferenceÂ phoneÂ - Charcoal black",4
"Xerox 1967",3
"Fellowes PB200 Plastic Comb Binding Machine",3
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",5
"Storex DuraTech Recycled Plastic Frosted Binders",3
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72"H x 36""W x 18 1/2""D"",6
"Fellowes Super Stor/Drawer",2
"Newell 341",2
"Cisco SPA 501G IP Phone",3
"Wilson Jones Hanging View Binder, White, 1""",4
"Newell 318",7
"Acco Six-Outlet Power Strip, 4' Cord Length",7
"Global Deluxe Stacking Chair, Gray",2
"Bretford CR4500 Series Slim Rectangular Table",3
"Wilson Jones Active Use Binders",2
"ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive",3
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7
"Avery Recycled Flexi-View Covers for Binding Systems",2
"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock"",3
"Poly String Tie Envelopes",2
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",6
"Lumber Crayons",2
"Easy-staple paper",3
"GE 30524EE4",7
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",5
"#10-4 1/8" x 9 1/2"" Premium Diagonal Seam Envelopes"",9
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",3
"Global Fabric Manager's Chair, Dark Gray",3
"Plantronics HL10 Handset Lifter",4
"Panasonic Kx-TS550",4
"Eldon Base for stackable storage shelf, platinum",2
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",2
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2
"Wilson Jones Leather-Like Binders with DublLock Round Rings",2
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
"ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive",3
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",2
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",6
"Avery 485",6
"Longer-Life Soft White Bulbs",2
"Global Leather Task Chair, Black",1
"Advantus Push Pins",7
"AT&T CL83451 4-Handset Telephone",5
"Home/Office Personal File Carts",6
"Xerox 232",5
"Novimex Turbo Task Chair",5
"Array Parchment Paper, Assorted Colors",2
"ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive",2
"Plastic Binding Combs",4
"Prang Dustless Chalk Sticks",1
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",2
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8" X 11"""",6
"Xerox 1943",3
"Luxo Economy Swing Arm Lamp",4
"Global Value Mid-Back Manager's Chair, Gray",5
"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8
"netTALK DUO VoIP Telephone Service",4
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2
"Avery Binding System Hidden Tab Executive Style Index Sets",1
"Telephone Message Books with Fax/Mobile Section, 5 1/2" x 3 3/16"""",3
"High-Back Leather Manager's Chair",8
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"""",2
"Safco Industrial Wire Shelving System",1
"Economy Binders",3
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5
"1.7 Cubic Foot Compact "Cube"" Office Refrigerators"",1
"Avery Heavy-Duty EZD  Binder With Locking Rings",3
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",5
"Sortfiler Multipurpose Personal File Organizer, Black",1
"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",7
"Safco Industrial Wire Shelving",3
"Novimex Swivel Fabric Task Chair",2
"LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",1
"Avery 511",2
"Eldon Portable Mobile Manager",7
"Turquoise Lead Holder with Pocket Clip",3
"Panasonic Kx-TS550",2
"Xerox 1995",1
"Xerox 1999",2
"Seth Thomas 13 1/2" Wall Clock"",3
"Ibico Standard Transparent Covers",2
"Flexible Leather- Look Classic Collection Ring Binder",1
"9-3/4 Diameter Round Wall Clock",7
"Trimflex Flexible Post Binders",3
"Fellowes Basic Home/Office Series Surge Protectors",6
"Avery Personal Creations Heavyweight Cards",7
"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",3
"Avery Hidden Tab Dividers for Binding Systems",3
"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",4
"Logitech K350 2.4Ghz Wireless Keyboard",6
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",3
"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",8
"Speck Products Candyshell Flip Case",1
"Newell Chalk Holder",1
"LogitechÂ Gaming G510s - Keyboard",5
"Magnifier Swing Arm Lamp",2
"Hunt PowerHouse Electric Pencil Sharpener, Blue",2
"Avery Durable Plastic 1" Binders"",6
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2
"Xerox 1921",3
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",6
"Hon Racetrack Conference Tables",3
"GBC DocuBind 300 Electric Binding Machine",1
"Artistic Insta-Plaque",3
"DXL Angle-View Binders with Locking Rings by Samsill",4
"Companion Letter/Legal File, Black",6
"Globe Weis Peel & Seel First Class Envelopes",9
"KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",7
"Global Deluxe High-Back Manager's Chair",3
"Bevis 44 x 96 Conference Tables",6
"Avery Durable Slant Ring Binders, No Labels",2
"Trav-L-File Heavy-Duty Shuttle II, Black",7
"Global Task Chair, Black",2
"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",3
"Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",5
"Xerox 1916",2
Staples,9
"Xerox 195",3
"Xerox 1880",1
"Sanford Colorific Colored Pencils, 12/Box",4
"Ideal Clamps",2
"GBC Wire Binding Strips",3
"Fiskars Softgrip Scissors",6
